system,game,art_old,art_new,score
Nintendo Game Boy Advance,"Maya the Bee - The Great Adventure (Europe) (En,Fr,De,Es,It)","Maya the Bee - The Great Adventure (Europe) (En,Fr,De,Es,It).png","Maya the Bee - The Great Adventure (Europe) (En,Fr,De,Es,It).png",100.0
Nintendo Game Boy Advance,"Mazes of Fate (USA) (En,Fr,De,Es,It)","Mazes of Fate (USA) (En,Fr,De,Es,It).jpg","Mazes of Fate (USA) (En,Fr,De,Es,It).jpg",100.0
Nintendo Game Boy Advance,Mech Platoon (USA),Mech Platoon (USA).jpg,Mech Platoon (USA).jpg,100.0
Nintendo Game Boy Advance,Medabots - Metabee Version (USA),Medabots - Metabee Version (USA).jpg,Medabots - Metabee Version (USA).jpg,100.0
Nintendo Game Boy Advance,Medabots - Rokusho Version (USA),Medabots - Rokusho Version (USA).jpg,Medabots - Rokusho Version (USA).jpg,100.0
Nintendo Game Boy Advance,Medabots AX - Metabee Version (USA),Medabots AX - Metabee Version (USA).png,Medabots AX - Metabee Version (USA).png,100.0
Nintendo Game Boy Advance,Medabots AX - Rokusho Version (USA),Medabots AX - Rokusho Version (USA).png,Medabots AX - Rokusho Version (USA).png,100.0
Nintendo Game Boy Advance,"Medal of Honor - Infiltrator (USA, Europe) (En,Fr,De)","Medal of Honor - Infiltrator (USA, Europe) (En,Fr,De).png","Medal of Honor - Infiltrator (USA, Europe) (En,Fr,De).png",100.0
Nintendo Game Boy Advance,Medal of Honor - Underground (USA),Medal of Honor - Underground (USA).jpg,Medal of Honor - Underground (USA).jpg,100.0
Nintendo Game Boy Advance,Meet the Robinsons (USA),Meet the Robinsons (USA).jpg,Meet the Robinsons (USA).jpg,100.0
Nintendo Game Boy Advance,Mega Man & Bass (USA),Mega Man & Bass (USA).png,Mega Man & Bass (USA).png,100.0
Nintendo Game Boy Advance,Mega Man Battle Chip Challenge (USA),Mega Man Battle Chip Challenge (USA).png,Mega Man Battle Chip Challenge (USA).png,100.0
Nintendo Game Boy Advance,Mega Man Battle Network (USA),Mega Man Battle Network (USA).png,Mega Man Battle Network (USA).png,100.0
Nintendo Game Boy Advance,Mega Man Battle Network 3 - Blue Version (USA),Mega Man Battle Network 3 - Blue Version (USA).png,Mega Man Battle Network 3 - Blue Version (USA).png,100.0
Nintendo Game Boy Advance,Mega Man Battle Network 3 - White Version (USA),Mega Man Battle Network 3 - White Version (USA).jpg,Mega Man Battle Network 3 - White Version (USA).jpg,100.0
Nintendo Game Boy Advance,Mega Man Battle Network 4 - Red Sun (USA),Mega Man Battle Network 4 - Red Sun (USA).png,Mega Man Battle Network 4 - Red Sun (USA).png,100.0
Nintendo Game Boy Advance,Mega Man Battle Network 5 - Team Colonel (USA),Mega Man Battle Network 5 - Team Colonel (USA).jpg,Mega Man Battle Network 5 - Team Colonel (USA).jpg,100.0
Nintendo Game Boy Advance,Mega Man Battle Network 6 - Cybeast Falzar (USA),Mega Man Battle Network 6 - Cybeast Falzar (USA).png,Mega Man Battle Network 6 - Cybeast Falzar (USA).png,100.0
Nintendo Game Boy Advance,Mega Man Battle Network 6 - Cybeast Gregar (USA),Mega Man Battle Network 6 - Cybeast Gregar (USA).jpg,Mega Man Battle Network 6 - Cybeast Gregar (USA).jpg,100.0
Nintendo Game Boy Advance,"Mega Man Zero (USA, Europe)",Mega Man Zero 3 (USA).png,"Mega Man Zero (USA, Europe).png",95.0
Nintendo Game Boy Advance,Men in Black - The Series (USA),Men in Black - The Series (USA).png,Men in Black - The Series (USA).png,100.0
Nintendo Game Boy Advance,Metal Slug Advance (KOR),Metal Slug Advance (KOR).png,Metal Slug Advance (KOR).png,100.0
Nintendo Game Boy Advance,Metroid - Fusion (KOR),Metroid - Fusion (KOR).png,Metroid - Fusion (KOR).png,100.0
Nintendo Game Boy Advance,"Micro Machines (Europe) (En,Fr,De,Es,It)","Micro Machines (Europe) (En,Fr,De,Es,It).jpg","Micro Machines (Europe) (En,Fr,De,Es,It).jpg",100.0
Nintendo Game Boy Advance,Midnight Club - Street Racing (USA),Midnight Club - Street Racing (USA).jpg,Midnight Club - Street Racing (USA).jpg,100.0
Nintendo Game Boy Advance,"Midway's Greatest Arcade Hits (USA, Europe)","Midway's Greatest Arcade Hits (USA, Europe).jpg","Midway's Greatest Arcade Hits (USA, Europe).jpg",100.0
Nintendo Game Boy Advance,Mighty Beanz Pocket Puzzles (USA),Mighty Beanz Pocket Puzzles (USA).jpg,Mighty Beanz Pocket Puzzles (USA).jpg,100.0
Nintendo Game Boy Advance,"Mike Tyson Boxing (USA) (En,Fr,De,Es,It)","Mike Tyson Boxing (USA) (En,Fr,De,Es,It).jpg","Mike Tyson Boxing (USA) (En,Fr,De,Es,It).jpg",100.0
Nintendo Game Boy Advance,"Minority Report - Everybody Runs (USA, Europe)","Minority Report - Everybody Runs (USA, Europe).jpg","Minority Report - Everybody Runs (USA, Europe).jpg",100.0
